i,time,open,high,low,close,volume,date
0,1561273200000.0,10762.8,10816.24,10720.0,10743.21,1528.280503,2019-06-23 07:00:00
1,1561276800000.0,10740.65,10782.49,10685.5,10712.72,1472.441736,2019-06-23 08:00:00
2,1561280400000.0,10712.59,10735.04,10600.0,10700.0,2179.223057,2019-06-23 09:00:00
3,1561284000000.0,10700.0,10700.0,10555.18,10596.44,1569.407868,2019-06-23 10:00:00
4,1561287600000.0,10597.54,10724.03,10593.03,10658.81,1427.097208,2019-06-23 11:00:00
5,1561291200000.0,10658.81,10816.93,10656.29,10751.35,1613.350635,2019-06-23 12:00:00
6,1561294800000.0,10751.35,10753.49,10650.02,10686.43,1591.076462,2019-06-23 13:00:00
7,1561298400000.0,10686.23,10817.98,10682.38,10782.22,2045.123876,2019-06-23 14:00:00
8,1561302000000.0,10780.32,10828.61,10750.0,10812.32,1988.230286,2019-06-23 15:00:00
9,1561305600000.0,10812.32,10862.98,10721.75,10743.36,1828.886799,2019-06-23 16:00:00
10,1561309200000.0,10740.94,10813.94,10721.11,10798.4,892.473455,2019-06-23 17:00:00
11,1561312800000.0,10798.4,10914.0,10781.54,10906.32,1634.683398,2019-06-23 18:00:00
12,1561316400000.0,10905.4,11134.7,10905.2,11058.32,5621.577805,2019-06-23 19:00:00
13,1561320000000.0,11058.49,11180.0,11043.92,11136.07,3428.047959,2019-06-23 20:00:00
14,1561323600000.0,11136.49,11392.64,10924.41,11004.07,6730.735587,2019-06-23 21:00:00
15,1561327200000.0,11004.08,11139.98,10842.78,10936.17,4695.124156,2019-06-23 22:00:00
16,1561330800000.0,10936.17,10940.35,10780.0,10906.07,4861.759232,2019-06-23 23:00:00
17,1561334400000.0,10905.95,10905.96,10620.8,10728.32,4050.177601,2019-06-24 00:00:00
18,1561338000000.0,10725.15,10777.79,10621.4,10706.37,1902.774745,2019-06-24 01:00:00
19,1561341600000.0,10707.56,10776.99,10664.8,10715.91,1115.719692,2019-06-24 02:00:00
20,1561345200000.0,10715.93,10759.45,10679.78,10720.64,1213.103879,2019-06-24 03:00:00
21,1561348800000.0,10720.34,10854.75,10674.55,10851.55,1434.102483,2019-06-24 04:00:00
22,1561352400000.0,10851.53,10876.96,10790.08,10833.0,1663.18949,2019-06-24 05:00:00
23,1561356000000.0,10832.53,10833.0,10740.01,10763.53,1368.167941,2019-06-24 06:00:00
24,1561359600000.0,10766.29,10848.08,10765.46,10816.17,1007.249971,2019-06-24 07:00:00
25,1561363200000.0,10814.8,10936.0,10810.15,10935.0,1500.963121,2019-06-24 08:00:00
